id,prenom,nom,genre,orientation,age,email,username,password,ville,pays,hobby1,hobby2,hobby3,taille,poids
53,Constance,Bourgeois,Femme,Hétérosexuel.le,24,constance.bourgeois@wanadoo.fr,aurore26,70a5eae85a4aa040aeede5cdfcd63acbb1b45b526fe45d9cfe6b375249eecad5,Saint Édouard,France,cuisine,,,150.6,57.4
54,Véronique,Barre,Femme,Hétérosexuel.le,46,véronique.barre@bouygtel.fr,dsimon,d7af35a009b071d618ad05fefffa6312db465ab0aeb19dafb39045ddc2ab5a11,Clément-sur-Mer,France,lecture,,,153.4,48.3
55,Théophile,Pinto,Homme,Hétérosexuel.le,22,théophile.pinto@tiscali.fr,wmarin,e0cf8215981ba62b2682df87ff9cc8a1a40292b52dae28fe99f732d08c4cbea9,Pottier,France,cinéma,,,175.2,65.5
56,Stéphane,Perez,Homme,Homosexuel.le,44,stéphane.perez@free.fr,georgesrenard,adb25d2a723583057f83f2d06b6e62f53232a93692e608f05442196dba393d44,Riou-sur-Hebert,France,cuisine,randonnée,sport,166.1,73.2
57,Isaac,Marques,Homme,Hétérosexuel.le,33,isaac.marques@orange.fr,bmartineau,feeae36dafe228e47eec1f0acdb2a897136e34ea691ac133fb1c0e33120662bc,Voisin,France,randonnée,photographie,dessin,169.7,74.8
58,Pierre,Barbier,Homme,Hétérosexuel.le,44,pierre.barbier@bouygtel.fr,perrotcecile,c43b102040c94285a27b30675d07053e6b9602f32d10a0829cce1881388aa779,Guillot,France,sport,voyage,danse,193.6,63.4
59,Denise,David,Femme,Hétérosexuel.le,64,denise.david@wanadoo.fr,whoarau,7a81cce75236a9eb1b08373bbce9208eabb649ffba6fd12bafbd84391ccc1952,Joly,France,photographie,danse,,173.2,47.5
60,Antoinette,Dos Santos,Femme,Hétérosexuel.le,58,antoinette.dos santos@tele2.fr,charlotte03,e69d9f8662da47bbae6c8f6a940cc605dec44c856605423fb14a653790b3ed6a,Saint Henridan,France,sport,,,154.8,76.7
61,Diane,Lucas,Femme,Hétérosexuel.le,51,diane.lucas@yahoo.fr,adelaide94,f496cc38c8bed4d95a8b5c4801e10ba9f4726ef43a8cf3b182dfc5339484082c,Brunel-la-Forêt,France,jeux vidéo,danse,randonnée,173.7,68.1
62,Laetitia,Collet,Femme,Hétérosexuel.le,21,laetitia.collet@club-internet.fr,ileroux,dade93e1f1b0f86e53b9674c3f1fd7760297395751d6cadaa33dd9fbeed49527,Payet,France,yoga,,,166.9,75.4
63,Lucie,Wagner,Femme,Hétérosexuel.le,30,lucie.wagner@dbmail.com,andrefontaine,512397260daab5bd12873b8c2aabb86e1ed6ca762a901fb2899d3b25ddc08cfb,Sainte Margaux,France,cinéma,,,176.0,82.6
64,Françoise,Samson,Femme,Hétérosexuel.le,42,françoise.samson@wanadoo.fr,kmeunier,5e963802ed9c0706c9b6c66b51e12a621d3ba8dc9ff809c586ed947b72c7909b,Gay,France,jeux vidéo,,,175.4,75.1
65,Michelle,Renard,Femme,Autre,57,michelle.renard@voila.fr,chantalgonzalez,32112d3a782216507da9a7d29fffda62d6e198ff0e606bd65b9d259e7f88cf11,Hervé-sur-Weiss,France,jeux vidéo,musique,dessin,161.4,83.6
66,Adélaïde,Bertrand,Femme,Hétérosexuel.le,57,adélaïde.bertrand@orange.fr,michel28,085a7988f68801e3531311d7879ea306abd5f2909bcb3257b2d8c9b788802795,Sainte AudreyVille,France,photographie,musique,danse,184.6,72.5
67,Antonina,Barillaro,Femme,Homosexuel.le,61,antonina.barillaro@poste.it,xsantorio,adac055a99948129bb37bd06b56366cc1fe1214a452366ad35324c5b6022f3d4,Trentola Ducenta,Italie,danse,cinéma,,179.4,58.5
68,Louise,Boyer,Femme,Hétérosexuel.le,49,louise.boyer@tele2.fr,diane75,359c5e45cd8ad104c3d4e5786fef3262eddd4bd4e9a2f676ae654412cf0b7d84,BlinBourg,France,cuisine,,,163.4,86.4
69,Camille,Hubert,Femme,Autre,53,camille.hubert@dbmail.com,andregrenier,92041c933febb3330f056e149e7b35e14ea1af59db219145601fcd1080bb46df,Leblanc,France,sport,dessin,,156.0,61.0
70,Élise,Texier,Femme,Homosexuel.le,34,élise.texier@bouygtel.fr,bernierphilippine,4c72b4fb39a32a609427021fc623833c912acc5b04b574231248a24870a6fb61,Laporte,France,dessin,photographie,cinéma,152.9,56.2
71,Martine,Pons,Femme,Hétérosexuel.le,60,martine.pons@yahoo.fr,celine97,d3f69737d5e56f4135928e62697d395af58876df4c0bba0541828e970e989f15,Petit,France,photographie,,,154.5,57.5
72,Cécile,Coulon,Femme,Hétérosexuel.le,56,cécile.coulon@club-internet.fr,ichauvin,067a0dff755b29240fc175ada0f0db8e4a2ec7b6511db23f142a4c5c34e4b2d0,Denis-la-Forêt,France,lecture,cuisine,,156.5,63.1
73,Zacharie,Étienne,Homme,Autre,27,zacharie.étienne@club-internet.fr,berthelotedith,594e3b2803fcf25db37480a677fa86ac44230ec14168af4e63447019922b70dd,Maréchal-les-Bains,France,lecture,photographie,yoga,184.4,72.8
74,Alphonse,Lebon,Homme,Hétérosexuel.le,45,alphonse.lebon@free.fr,marthegeorges,622af9e037001c204eb30a577aa34df560fe443fcc87e70ae50cc7247698dfaa,Bourdon-sur-Dubois,France,musique,photographie,,195.3,69.2
75,Valérie,Masse,Femme,Hétérosexuel.le,60,valérie.masse@live.com,auroregonzalez,07e47e3f29682403f84d7c7729cc4ac8168e43800d6d799a554bd79edf9b1bb3,Sainte Anouk,France,danse,photographie,,178.5,74.7
76,David,Costa,Homme,Homosexuel.le,28,david.costa@gmail.com,klecomte,048165fab7fa62ff62b275ad497dc24ddcaa49f472501939513d65e120e6801b,Le Rouxnec,France,photographie,,,171.2,98.2
77,Paul,Garcia,Homme,Homosexuel.le,27,paul.garcia@wanadoo.fr,voisindanielle,cf3e5d10cf3758c4bfe461cd3d4d946fa775b6eafe0449fb039497b49b7e934e,Jean-sur-Mer,France,photographie,,,184.1,63.8
78,Michelle,Charles,Femme,Homosexuel.le,57,michelle.charles@laposte.net,zleduc,c5954b5368932ec5d5fb5ec8f800f95d7e0281663f0d3797952ade544fe90e5b,Samsondan,France,danse,jeux vidéo,,165.1,77.6
79,Niels,Bolnbach,Homme,Hétérosexuel.le,20,niels.bolnbach@web.de,helmar89,30dc8e5debdf39345e6c2d806cdac0a102d2196174653020444c534a5028098b,Ebermannstadt,Allemagne,danse,,,174.8,81.6
80,Michel,Gonzalez,Homme,Autre,30,michel.gonzalez@tele2.fr,adrien22,9971b8fe50ef542f042a77e7d9ae05c25cee110deb609bfda830e714bceccaa4,Lenoir,France,lecture,cuisine,cinéma,178.4,72.8
81,Zoé,Durand,Femme,Autre,50,zoé.durand@tiscali.fr,coulonamelie,5b6825eb3f258f4d1dee7e09f15a092ca5752ac314f9b232dfacefe4d64cf80e,Sainte Paulette,France,dessin,musique,,150.4,78.2
82,Diane,Gautier,Non-binaire,Hétérosexuel.le,43,diane.gautier@wanadoo.fr,andre82,799c59290c6c1396f938b1ae8266d7e0e132fb2b28b5941f58f36945287a3bc7,Peron,France,cinéma,randonnée,cuisine,165.0,76.6
83,Thomas,Philippe,Homme,Hétérosexuel.le,41,thomas.philippe@club-internet.fr,henriette84,f427700803cb3995aa3b9e22fcaf38042c22b0e027859d46d5bc2bb007b1eff0,DidierBourg,France,photographie,dessin,,182.1,84.1
84,Alix,Techer,Non-binaire,Hétérosexuel.le,55,alix.techer@sfr.fr,ltraore,fd31aa662b34153cbf1bfe15f3af80bea13cc53899339d5443bedf70a5293a0e,JourdanBourg,France,voyage,photographie,cinéma,175.9,77.7
85,Martine,Fontaine,Femme,Hétérosexuel.le,49,martine.fontaine@tiscali.fr,nathaliepelletier,7a4cbb73c8906bbb8bda90390d027e4cbb66391352bf35d7335cf2549ba4c6bb,Meunier,France,photographie,danse,sport,162.2,61.2
86,Martin,Boulanger,Homme,Hétérosexuel.le,38,martin.boulanger@gmail.com,xavier25,df20f6700c82ed91f50a04f8e6872b951acb4aa4c78a4428f631cf9a6b45c833,Baie Thibodeau,Canada,cuisine,cinéma,,197.1,105.9
87,Élisabeth,Georges,Non-binaire,Hétérosexuel.le,25,élisabeth.georges@wanadoo.fr,margotmahe,30ceb5fb1440a3e57268c6dfb05b5986eb80e168e14d7ad5e5a9b97d2e52e9b1,Dupuy-les-Bains,France,jeux vidéo,,,167.9,91.7
88,Richard,Lagarde,Homme,Hétérosexuel.le,32,richard.lagarde@gmail.com,cgirard,6b3eea6eb66b4b90c9133a0422715104091088dd56e5966a0b4f445b06d9e04e,Thomas,France,lecture,yoga,cinéma,179.4,95.8
89,Christine,Mercier,Femme,Hétérosexuel.le,24,christine.mercier@laposte.net,zlucas,0b0a72c309154a42d734e27b19dd2b62b1c7c02608995f6a35d8e19e2ec4741a,Goncalves,France,cuisine,sport,,176.9,68.2
90,Victor,Bailly,Homme,Hétérosexuel.le,50,victor.bailly@hotmail.fr,isabellebrun,afe98cc5d7569f5d47f5bc4279c789ba402b83e47d292a00049cbfca07a71806,Raymond,France,jeux vidéo,yoga,lecture,175.0,81.9
91,Océane,Maillet,Autre,Hétérosexuel.le,42,océane.maillet@laposte.net,georges86,1d645aed6749e1d590b078e265e4ec8f111c09c5ecc0e8dfcfec7bd2ca48c66d,BlondelBourg,France,randonnée,jeux vidéo,,164.2,88.7
92,Jérôme,Schmitt,Non-binaire,Hétérosexuel.le,41,jérôme.schmitt@live.com,suzanne11,98a73b4f5cbd5238b81cf6adda3239d0a8f65101646642a5d4804509228f1357,Saint Véronique,France,lecture,yoga,,170.4,64.4
93,Anastasie,Bodin,Femme,Hétérosexuel.le,61,anastasie.bodin@voila.fr,thibault18,2f37034216767946523909ff653e3ce50221899c924c6d4d64dca7be8e08ae1e,Nicolas,France,dessin,voyage,randonnée,152.7,63.1
94,Alphonse,Fabre,Homme,Autre,42,alphonse.fabre@tiscali.fr,edevaux,57788585b16fedcb674f9fe3b85ef489199c230f410a03c309bf6301fbf501b1,Cousin,France,cuisine,,,188.7,99.1
95,Denis,Pottier,Homme,Hétérosexuel.le,53,denis.pottier@laposte.net,sylvieguillaume,f51d558248c6a7fecb62dce6d316327fadcbb1437259aa79d4de24bd1f6ddff7,Sainte Élisabeth,France,cinéma,musique,randonnée,176.4,98.9
96,Léon,Barbier,Homme,Homosexuel.le,56,léon.barbier@tiscali.fr,wagnertristan,a1bc76e46a9420385032814208bdc0bc24e1e7cd711b923fb5b5f1b3dca72608,RobertVille,France,randonnée,photographie,,169.5,90.6
97,Roland,Samson,Homme,Hétérosexuel.le,35,roland.samson@laposte.net,gabrielpetitjean,e3938cfcd3ffbdff1bbab315ab829af5600df4770bb44275a5970c895090a6c0,Saint Juliette,France,lecture,voyage,randonnée,194.6,85.7
98,Marine,Thierry,Femme,Homosexuel.le,60,marine.thierry@laposte.net,pruvostpatrick,bf6bb04948a1714fd04d4e06e4b1a1c7660bd653cd83fb57c60fb1eb10db4850,Moreno,France,jeux vidéo,,,166.8,76.9
99,Noël,Georges,Homme,Hétérosexuel.le,64,noël.georges@laposte.net,luc61,bfd42f107ddcf13e1138fcd2f98ea60b92b5e0036ac2f1242c789c0e6489653d,Baron-les-Bains,France,dessin,danse,musique,167.7,87.6
100,Léon,Pelletier,Autre,Homosexuel.le,51,léon.pelletier@laposte.net,ygoncalves,e18f0bb31713fe60f3626cddc648857f52f7703a9029559b67bf030d20e515db,Saint Guy-la-Forêt,France,voyage,photographie,,185.5,75.7
