id,prenom,nom,genre,orientation,age,email,username,password,ville,pays,hobby1,hobby2,hobby3,taille,poids
11,Thierry,Morvan,Homme,Hétérosexuel.le,35,thierry.morvan.3747.6075@gmail.com,ThierryMorvan22763025,e54cf593c0cfd76a894f3093bdb58f97ff785a213783d69a43881854cc863fe7,Montpellier,France,photographie,sport,,188.3,98.5
12,Alexandre,Mendès,Homme,Hétérosexuel.le,58,alexandre.mendès.9191.7572@voila.fr,AlexandreMendès69594252,9f5f49ae1e7203dd62b351d85deece7c5ad154d16e0c3a6c8582d0b0405fab5c,Nice,France,jeux vidéo,photographie,voyage,185.9,74.7
13,Sylvie,Hamel,Femme,Hétérosexuel.le,57,sylvie.hamel.1232.6101@live.com,SylvieHamel7516432,e45d25b620d8ab7bb3e1c6ae04f75c5dab3ccc7143f352b7c621b4c183a3d41d,Lyon,France,photographie,yoga,randonnée,166.9,79.3
14,Jeanne,Dupuy,Femme,Hétérosexuel.le,52,jeanne.dupuy.6516.2226@dbmail.com,JeanneDupuy14504616,0b947f5c3665005c91050d480160023df3d7b99e8a347a43cf3dbccfe33a1842,Bordeaux,France,yoga,jeu de société,,176.7,74.2
15,Sébastien,Fischer,Homme,Hétérosexuel.le,64,sébastien.fischer.346.5059@orange.fr,SébastienFischer1750414,a8843a7ddd8e2a12c15a199d59c9654ee34c14faa60adeded3a4845e9b05c46f,Marseille,France,jeu de société,animaux,,183.0,104.6
16,Émilie,Lamy,Femme,Homosexuel.le,46,émilie.lamy.9779.7161@laposte.net,ÉmilieLamy70027419,1c115739d2063db36cd019dffc15ce6f838d87a1d3cbcf42d06a730bf7260503,Strasbourg,France,randonnée,cinéma,,180.1,53.4
17,Luca,Antonucci,Homme,Hétérosexuel.le,49,luca.antonucci.3609.5058@virgilio.it,LucaAntonucci18254322,11b75ece0d1961e46aa7ecb08c83a1e15c3ecca9cda7dc1f82a283da4a8fb23e,Venise,Italie,yoga,lecture,,189.7,76.2
18,Jacques,Roy,Homme,Autre,41,jacques.roy.496.4943@noos.fr,JacquesRoy2451728,917c5c14261260a2c9b885110000b7aba539bc377566fa32c9be15ea4e962a99,Marseille,France,dessin,,,185.1,103.6
19,Henriette,Ladeck,Femme,Hétérosexuel.le,58,henriette.ladeck.9692.5728@gmail.com,HenrietteLadeck55515776,cfdeece4ae1d3cfb3679be76972d746d7c29486b206aa36cb9d4aef0448be6b9,Hanovre,Allemagne,musique,,,170.8,85.6
20,Robert,Pelletier,Homme,Hétérosexuel.le,50,robert.pelletier.3013.3628@club-internet.fr,RobertPelletier10931164,7e6edf93a341fb65bf529fc75cbab223a7a3af927ce2f6b329b44b4d1f0b8d06,Nice,France,théâtre,,,197.4,94.5
21,Adrienne,Legendre,Femme,Homosexuel.le,61,adrienne.legendre.7533.7100@noos.fr,AdrienneLegendre53484300,54403f354520eaff95e31a19daa591946310b180a2c8f2689464e2f7a8750eab,Nice,France,cinéma,,,171.1,62.6
22,Brigitte,Pottier,Femme,Hétérosexuel.le,47,brigitte.pottier.4216.8305@orange.fr,BrigittePottier35013880,9732423ce610be2c5fadf0f4a1d301e30680e607c42f864a3286a1c8e9fb6daa,Nice,France,jeux vidéo,lecture,photographie,175.9,71.9
23,Valérie,Leroy,Femme,Hétérosexuel.le,64,valérie.leroy.668.1118@ifrance.com,ValérieLeroy746824,2f36dc1bb2a550f3df6de988e1dee0eb028113484a620ca2e0fb116c901cf838,Toulouse,France,yoga,randonnée,cinéma,150.3,52.2
24,Clémence,Rivière,Femme,Homosexuel.le,53,clémence.rivière.9640.1631@tele2.fr,ClémenceRivière15722840,99691f0e5829aaf14b429a33cb70338a8d71c8048bca6fb7fe00852533b8b242,Marseille,France,théâtre,,,166.0,89.8
25,Lucas,Wagner,Homme,Hétérosexuel.le,55,lucas.wagner.6163.880@ifrance.com,LucasWagner5423440,e2c69b130df4d8d5888062421314447c1457750990316b5e25ec459a52b04a2e,Toulouse,France,musique,randonnée,,179.3,71.1
26,Claude,Benoit,Non-binaire,Hétérosexuel.le,37,claude.benoit.4565.3064@gmail.com,ClaudeBenoit13987160,30b3c2476570fe4073dd80c2715df0164fe993dec8fb832efc7eb6d2ef43e2c3,Toulouse,France,cuisine,,,186.2,73.0
27,Anouk,Philippe,Femme,Hétérosexuel.le,23,anouk.philippe.2037.1449@voila.fr,AnoukPhilippe2951613,3087d24763f02b8701ebac98abce1a9b2135426545d650dcfae22c590a4b68a2,Montpellier,France,yoga,,,171.0,89.2
28,Paulette,Paris,Femme,Hétérosexuel.le,22,paulette.paris.1501.1239@sfr.fr,PauletteParis1859739,5d938e596d2f3775bd730e29430a8d70d6a4a081c38016642cce344adf94b611,Paris,France,soirées,,,170.9,72.0
29,Rémy,Alves,Homme,Hétérosexuel.le,30,rémy.alves.9025.3264@gmail.com,RémyAlves29457600,75774e64e0e71f181233ec5de36edf2eeb55d990cbb7d046ee5c059e5335fb88,Toulouse,France,danse,,,171.5,68.8
30,Antoine,Meunier,Homme,Hétérosexuel.le,64,antoine.meunier.7842.9147@laposte.net,AntoineMeunier71730774,072314c40f93bdf9d1cfb197b6a2082079f2cf94d4e809485e43a995f88fa4a2,Montpellier,France,danse,jeu de société,,181.4,103.1
31,Arthur,Vallée,Homme,Hétérosexuel.le,53,arthur.vallée.6041.2773@yahoo.fr,ArthurVallée16751693,23b3715d4e735a3f2faa901fd83bfa53ca71c5e4c34d974693eb858c267dbfaa,Nice,France,voyage,,,172.5,98.5
32,Martine,David,Non-binaire,Hétérosexuel.le,24,martine.david.1157.8175@orange.fr,MartineDavid9458475,f9728167abe0aa192246626ddcc8217221e0d4e156a3800e16a76e569f365d66,Nice,France,voyage,cuisine,,189.8,91.0
33,Valentine,Lemaire,Femme,Homosexuel.le,23,valentine.lemaire.4244.2697@voila.fr,ValentineLemaire11446068,fd6987bef13bf4e10384a85592610cc59cbf431f8c342c525868f2873e9d1c54,Lille,France,lecture,danse,,160.1,87.4
34,Juliette,Blondel,Femme,Hétérosexuel.le,49,juliette.blondel.8928.9675@ifrance.com,JulietteBlondel86378400,0fea59d0af8f7f3e4b0bbc323bcde2202dd156fe5af27300cc2b059bc1827ab9,Paris,France,photographie,jeux vidéo,,169.1,64.3
35,Xavier,Bruneau,Homme,Hétérosexuel.le,61,xavier.bruneau.4464.8558@yahoo.fr,XavierBruneau38202912,c4211196b477727cd7d43bacb32ef45d5cc3ecfe6c3bf1e556180f036be61c44,Bordeaux,France,cuisine,,,197.6,104.0
36,Victoire,Fouquet,Femme,Homosexuel.le,62,victoire.fouquet.1077.4065@noos.fr,VictoireFouquet4378005,6402110e2f42abc2db33545d1ae56c235e0145502b3af934010cb589d7a11b08,Lille,France,voyage,,,151.6,72.1
37,Javiera,Hervia,Femme,Hétérosexuel.le,45,javiera.hervia.9818.8919@hotmail.com,JavieraHervia87566742,00232b4bc9c94c82ed0e7f0075b0e273646bfc0a4daf32c11c86609d9ca94573,Saragosse,Espagne,sport,,,162.2,52.9
38,Alexandrie,Dupré,Femme,Hétérosexuel.le,45,alexandrie.dupré.9999.3898@laposte.net,AlexandrieDupré38976102,32fe3620e54b2bfc99c3b470cf5f1c9270041f118d140314685fecdcfba3e0be,Marseille,France,lecture,,,151.6,58.5
39,Caroline,Legros,Femme,Homosexuel.le,43,caroline.legros.7368.5708@club-internet.fr,CarolineLegros42056544,e1a0ce3a4bf2295bf3b2eb2c4bbeb9f36265fdb2933c0f7851d158efd63456ef,Nice,France,danse,,,184.9,86.1
40,René,Garnier,Homme,Hétérosexuel.le,39,rené.garnier.7786.7081@ifrance.com,RenéGarnier55132666,d58efbc42950683c95206add08ec8a01dbf71d9162532364c5279b06d785d6f7,Lille,France,jeux vidéo,,,194.3,88.8
41,Raymond,Henry,Homme,Hétérosexuel.le,55,raymond.henry.7141.9355@yahoo.fr,RaymondHenry66804055,f692868b03ccc74c0941415c225f71efd2629d2a26e2b8b3c2e3a90879e56a84,Strasbourg,France,théâtre,soirées,animaux,197.9,82.2
42,Lalo,Galán,Homme,Hétérosexuel.le,61,lalo.galán.4901.7179@gmail.com,LaloGalán35184279,9c7fb464d69ba2bbb9587c5514870ec6ec8f6ae42fbb316b2c388773fc7c93cc,Murcie,Espagne,cuisine,soirées,randonnée,175.9,109.6
43,François,Léger,Homme,Autre,48,françois.léger.4638.8588@club-internet.fr,FrançoisLéger39831144,5eb0231b23db8cc9661ead3a622c9b9c7591b66e1e767fe962d5a0361c9f43fb,Nantes,France,musique,cuisine,,168.0,81.8
44,Susan,Perrin,Femme,Autre,52,susan.perrin.9538.7859@ifrance.com,SusanPerrin74959142,872cf2b20d13393e1ab617b686e1383df26380e85e80d3b6ed3629275bb8f6cf,Montpellier,France,yoga,,,173.9,66.7
45,Marianne,Da Silva,Femme,Hétérosexuel.le,24,marianne.da silva.2684.3783@laposte.net,MarianneDa Silva10153572,363fa1efaa2303a92365907ad1e32a86004e9a4c2d757d943d1daf4764ca1cf3,Strasbourg,France,cinéma,cuisine,voyage,150.2,68.5
46,Laetitia,Colas,Femme,Hétérosexuel.le,47,laetitia.colas.6370.2995@yahoo.fr,LaetitiaColas19078150,41119045fece6515bcf6b10eabe2f22b653383a78e83955abd8e4eaabc262dbb,Bordeaux,France,randonnée,danse,lecture,182.5,76.1
47,Juliette,Lemonnier,Femme,Hétérosexuel.le,40,juliette.lemonnier.5358.2652@noos.fr,JulietteLemonnier14209416,1b0ddc1cec8fb56167781acc0e1af45ce339d5e76f3db954d785036603fc2997,Strasbourg,France,voyage,musique,théâtre,171.5,77.9
48,Yves,Paris,Homme,Hétérosexuel.le,48,yves.paris.5632.1852@wanadoo.fr,YvesParis10430464,19a0dd0707444d9e552678915c6d10674741e528086b94d10165eb90df92e4b4,Lille,France,soirées,,,188.2,88.9
49,Sébastien,Coste,Homme,Autre,51,sébastien.coste.3142.23@bouygtel.fr,SébastienCoste72266,6277a8d989be93b1c78116784ca223dd35c7750f81f55fc509f4c7f0c3c66154,Bordeaux,France,dessin,,,184.5,70.6
50,José María,Elías,Non-binaire,Hétérosexuel.le,19,josé maría.elías.6361.7637@hotmail.com,José MaríaElías48578957,6718a948a1619fc615da0d8bf4650a3fdc5dbb74319fea776d3dcdb6b4ec4cc7,Séville,Espagne,musique,soirées,,190.6,83.0
51,Raymond,Legendre,Homme,Hétérosexuel.le,58,raymond.legendre.2688.6267@tiscali.fr,RaymondLegendre16845696,4a554d639826f8fd4ba274fe58aff36b5bfd24f51024e0faf916f1344f406b9a,Bordeaux,France,danse,,,191.2,60.7
52,Madeleine,Maillard,Femme,Hétérosexuel.le,29,madeleine.maillard.3613.5210@tiscali.fr,MadeleineMaillard18823730,1e6c212e0a34a2390111f4ec44dceccd67fb768d87ed7f3a9526b160221d354a,Nantes,France,musique,lecture,yoga,180.5,76.3
53,Lorraine,Henry,Femme,Autre,58,lorraine.henry.3015.4812@laposte.net,LorraineHenry14508180,6ec696e46f6f3ccac33c016ddd9d6f885540175966668ad2f20cdb6382e7ee10,Lyon,France,cuisine,théâtre,danse,184.4,89.8
54,Nathalie,Neveu,Autre,Hétérosexuel.le,58,nathalie.neveu.9151.3982@tiscali.fr,NathalieNeveu36439282,58427415d6a659338fb7b492c5cb5f03001b5376ca00fa53dd6cdd21ca2814dc,Nice,France,lecture,,,154.1,54.1
55,Margaret,Diallo,Femme,Autre,36,margaret.diallo.1201.5879@dbmail.com,MargaretDiallo7060679,9d7679bbcf648a1fe2282e6a40d90652d3e9a3fec47b634ad515c5565a1fc663,Montpellier,France,dessin,animaux,soirées,152.8,58.2
56,Marcel,Dupont,Homme,Hétérosexuel.le,39,marcel.dupont.2617.3081@live.com,MarcelDupont8062977,fac6513f5044afa46441d34bbd90e89310f8fa4efa9cfd5745123d8543d251f4,Bordeaux,France,lecture,sport,photographie,189.4,62.2
57,Jean,Evrard,Homme,Hétérosexuel.le,60,jean.evrard.8831.7375@ifrance.com,JeanEvrard65128625,08f74959eed369249c1279aaa2aeb5ab14252626298952922dc8feaff2e098d5,Nantes,France,jeu de société,lecture,dessin,177.1,103.5
58,Stéphanie,Gauthier,Femme,Autre,48,stéphanie.gauthier.7213.2126@sfr.fr,StéphanieGauthier15334838,ceaafa0bed4f28ffae5a25ab7673d5cce54e29b7c2d49eecc1edf42017bc2c4c,Nice,France,photographie,danse,soirées,159.0,77.9
59,William,Aubry,Homme,Hétérosexuel.le,60,william.aubry.3895.7970@voila.fr,WilliamAubry31043150,d2824ef79f40936917695df9d9efb39f9efe39e63e41b12ada583edacae0f4a8,Marseille,France,photographie,danse,,192.0,107.4
60,Matthieu,Descamps,Homme,Hétérosexuel.le,53,matthieu.descamps.5243.2243@ifrance.com,MatthieuDescamps11760049,5dad6e1b9b639a84ce2cefc84153df2add37b4e487de6371affc54181e5c6cb3,Lyon,France,musique,lecture,,193.6,68.6
61,Alan,Franklin,Homme,Hétérosexuel.le,51,alan.franklin.143.3875@yahoo.com,AlanFranklin554125,041bbc5ac49e2d46d72fd6e40f4e3bb257d58c556256f4f2527d1f53f6936bee,Édimbourg,Royaume-Uni,musique,sport,,178.7,78.6
62,Adélaïde,Laporte,Femme,Hétérosexuel.le,38,adélaïde.laporte.2825.5517@club-internet.fr,AdélaïdeLaporte15585525,dcc518c1e20201234aee1fe0f2734e66c25611d6a4be1588853025b6f55335c7,Toulouse,France,cuisine,jeux vidéo,jeu de société,154.0,72.9
63,Olivier,Guérin,Non-binaire,Homosexuel.le,29,olivier.guérin.3328.8830@wanadoo.fr,OlivierGuérin29386240,0d4326874218db11de080ff69ddb2334c5f72498dd33ba9b076aae754d38ff4e,Nantes,France,photographie,,,191.3,55.8
64,Isabelle,Fontaine,Femme,Hétérosexuel.le,56,isabelle.fontaine.1925.7955@voila.fr,IsabelleFontaine15313375,87f0ba5a44590209920cc38b792fee1e138d14643ea7db5d18483f6d84620a6b,Toulouse,France,photographie,animaux,,157.0,46.9
65,Daniel,Michaud,Homme,Autre,38,daniel.michaud.2348.5049@bouygtel.fr,DanielMichaud11855052,3dec2d2f0f805bf20b7f3b8cbcbb4fa6629070a4f9a62ef6e5223218fab99eb4,Montpellier,France,cuisine,yoga,animaux,189.9,103.2
66,Franck,Devaux,Homme,Homosexuel.le,60,franck.devaux.9652.9377@sfr.fr,FranckDevaux90506804,ebbb3a7e45961b9e894c9eb2edb2411c80a02a1bd385581ee1a9a5f3386ae595,Paris,France,danse,musique,,176.4,107.2
67,Augustin,Laine,Homme,Homosexuel.le,44,augustin.laine.1512.7661@ifrance.com,AugustinLaine11583432,9aa1b64b712df6cffc33e8a23b96be68a3ff2a93157b0c72a1b2ca5b3ff83d46,Bordeaux,France,dessin,cuisine,,188.9,99.5
68,Luce,Blanchet,Femme,Hétérosexuel.le,60,luce.blanchet.6495.7495@tele2.fr,LuceBlanchet48680025,c0f5daccfc9c5ef30f8953e2e58d419487ac22fd49e318d804922e09ca333710,Nantes,France,musique,,,163.9,82.0
69,Viviane,Pechel,Femme,Hétérosexuel.le,33,viviane.pechel.4227.6443@aol.de,VivianePechel27234561,eab89450b2aa600752c445886684b8f2ad090438a26536b3554cfb9be85fd900,Nuremberg,Allemagne,jeux vidéo,cinéma,dessin,184.2,59.5
70,Chantal,Reynaud,Femme,Hétérosexuel.le,42,chantal.reynaud.1456.6414@tiscali.fr,ChantalReynaud9338784,a8bc774e356cf5f7ecff679422cb24df9bfb6754c8b8b5ffe145040543bbe4b1,Strasbourg,France,jeu de société,photographie,,182.1,51.5
71,Corinne,Pierre,Femme,Hétérosexuel.le,44,corinne.pierre.394.4230@gmail.com,CorinnePierre1666620,8aff9b5c070430f0823098ace40a9675be552d44da14bbbe2df19ae9453ee001,Montpellier,France,yoga,jeux vidéo,,175.5,47.3
72,Margaret,Grondin,Femme,Hétérosexuel.le,43,margaret.grondin.8333.2549@tele2.fr,MargaretGrondin21240817,41f056ce8132a30f78534aff3421ea745e22a983e805e52fb979005b95f2ccce,Marseille,France,jeu de société,,,175.5,61.9
73,Luc,Perez,Non-binaire,Hétérosexuel.le,28,luc.perez.5877.6873@wanadoo.fr,LucPerez40392621,270bf4508355a3b9c8ad136dd38c5206ef1cf9b3cdc5e3adbe126cc0095ef5f5,Bordeaux,France,soirées,voyage,lecture,178.9,67.9
74,Eugène,Lagarde,Homme,Homosexuel.le,64,eugène.lagarde.1992.409@dbmail.com,EugèneLagarde814728,d9f5419d86d707ce308f261270f7203772d69b5221c2b028b144daf07722b853,Toulouse,France,voyage,dessin,,171.2,92.1
75,Charles,Benard,Homme,Hétérosexuel.le,37,charles.benard.7778.3110@yahoo.fr,CharlesBenard24189580,8c2584d9ec7fa0f836b07d2e8cb7a1c92b99bf3cce3db8f33e6d24208866e9ad,Lyon,France,photographie,,,171.9,77.4
76,Roger,Baron,Homme,Hétérosexuel.le,64,roger.baron.6655.7318@dbmail.com,RogerBaron48701290,72e6a808806846e00d5bee346bbaea7e27b798a2603ff91bc24888fc90eee1d9,Marseille,France,lecture,yoga,théâtre,189.1,97.7
77,Maryse,Charpentier,Femme,Autre,45,maryse.charpentier.4993.2668@bouygtel.fr,MaryseCharpentier13321324,1502b96987e8da9df1c424eaf7affe35edd3134b079418fd5f7403dfbafbb76c,Marseille,France,jeu de société,,,176.1,75.3
78,Thibaut,Sanchez,Homme,Hétérosexuel.le,34,thibaut.sanchez.1800.8549@dbmail.com,ThibautSanchez15388200,91ef1e44726f491d5ce7d77b1b8cba2f24640255fa245ce85c73b5ffe112f4fa,Paris,France,cuisine,musique,,183.8,88.0
79,Adrien,Navarro,Homme,Homosexuel.le,49,adrien.navarro.9622.5515@dbmail.com,AdrienNavarro53065330,7b235c749345a5a259f50d3bf99f3d08de2b23a8e1d7dc721ac22ab26ea91f54,Bordeaux,France,dessin,cinéma,,186.1,101.8
80,Gérard,Weber,Homme,Hétérosexuel.le,39,gérard.weber.5086.8817@voila.fr,GérardWeber44843262,940701ee0f941171794efabf5245b81217425e8adc080183cef0deed11fbf064,Montpellier,France,voyage,yoga,photographie,187.8,68.9
81,Franck,Prévost,Homme,Hétérosexuel.le,42,franck.prévost.6608.2422@tiscali.fr,FranckPrévost16004576,77d68c0306f0bcaf1aec9ff291fe18cbf01cee818ebfb276a379c7e8e2ee9290,Lyon,France,cinéma,,,178.6,109.4
82,Christiane,Morel,Femme,Homosexuel.le,58,christiane.morel.9139.8594@yahoo.fr,ChristianeMorel78540566,5f10b37bb91608487668befa2963d4c034c6dde9373228fef84a319885f47768,Lyon,France,jeu de société,,,157.0,50.1
83,Agathe,Pichon,Femme,Hétérosexuel.le,58,agathe.pichon.5968.4911@laposte.net,AgathePichon29308848,2f3ace658ae240a224daecb523e90e12ca3cb595d46b8380d2890508f19999b5,Lille,France,danse,dessin,,150.0,61.7
84,Zacharie,Gonzalez,Homme,Hétérosexuel.le,45,zacharie.gonzalez.7377.4487@sfr.fr,ZacharieGonzalez33100599,a69cc0904550d3196b9b0a080a46d6e9f8c32f0005727be9a721bd046e04abbe,Montpellier,France,dessin,cinéma,théâtre,191.0,107.8
85,Constance,Didier,Femme,Hétérosexuel.le,22,constance.didier.7412.7203@tele2.fr,ConstanceDidier53388636,fa3767b4af933aab7c283daac054ef6c10ca646cdcf527017f197b53982546f9,Montpellier,France,théâtre,,,180.0,48.5
86,Camille,Voisin,Femme,Homosexuel.le,56,camille.voisin.2744.5458@club-internet.fr,CamilleVoisin14976752,877418ba95b1e2ca1f5dcacc27ce8ea49204667a9b8873f6843e92d69ef043d4,Paris,France,théâtre,,,154.3,79.2
87,Roland,Lemaire,Homme,Hétérosexuel.le,22,roland.lemaire.8814.8276@tele2.fr,RolandLemaire72944664,8160b1d99890f4b59815c101f34fd0e534748544acddb55f2c2278aa2e4c15be,Bordeaux,France,yoga,,,192.0,74.6
88,Christine,Colin,Femme,Homosexuel.le,32,christine.colin.638.4454@wanadoo.fr,ChristineColin2841652,bcf21bde5bab4daa1bbfda7e56cf0d212374bb62f4b067b094b26348f311b036,Nantes,France,dessin,,,164.8,50.7
89,Margaud,Charrier,Femme,Hétérosexuel.le,50,margaud.charrier.2224.3194@tele2.fr,MargaudCharrier7103456,02ccb69e80a2787ec65cdc39779dba3383ad97c76830b15d08b4ce283a41dc45,Toulouse,France,danse,,,154.8,76.6
90,Bernd-Dieter,Otto,Homme,Homosexuel.le,23,bernd-dieter.otto.2046.8936@hotmail.de,Bernd-DieterOtto18283056,d789bf0f7fb14cd6a8fda48c8d0970670f4c3a6db4ec75b028c5082160b25952,Düsseldorf,Allemagne,cinéma,lecture,,167.0,98.7
91,Océane,Caron,Femme,Autre,48,océane.caron.5047.9183@gmail.com,OcéaneCaron46346601,e37d5380a31c633fa1fe41a6a7afaf894f26218063d07e28f88896503dc274b7,Lyon,France,photographie,dessin,voyage,170.5,68.8
92,Claude,Morvan,Femme,Hétérosexuel.le,27,claude.morvan.3707.9344@orange.fr,ClaudeMorvan34638208,2c505a612e806e614e50a6e792736592cb9b84f3ff849dafb88df8ea60e67009,Lille,France,soirées,animaux,lecture,177.2,88.1
93,Paul,Godard,Autre,Hétérosexuel.le,38,paul.godard.9461.2606@free.fr,PaulGodard24655366,0744a8ef40cbc9f64f34926faea175d561d9c0915226d9aed14440638b477b26,Paris,France,animaux,,,185.1,95.8
94,Emilia,Knappe,Femme,Homosexuel.le,20,emilia.knappe.234.4651@googlemail.com,EmiliaKnappe1088334,032f881ec8e1dbd14f6f11fc16008cd2539858e78ef49adda01ac5fd47dc96e1,Hanovre,Allemagne,voyage,,,177.4,55.3
95,Nanni,Tosto,Homme,Autre,20,nanni.tosto.3820.8057@live.com,NanniTosto30777740,eea1391ebf184a1e9618e1cdc03ae705129d9cb1c15a3797dc04e56930bf5478,Palerme,Italie,jeu de société,animaux,yoga,179.9,72.5
96,Océane,Masse,Femme,Hétérosexuel.le,33,océane.masse.9489.5210@free.fr,OcéaneMasse49437690,9dccbbe9b9114753721316e017a8841a46e1e8219881daee51e1448a08fc8e67,Nice,France,sport,photographie,yoga,160.2,55.3
97,Geneviève,Michaud,Femme,Hétérosexuel.le,61,geneviève.michaud.4317.4551@dbmail.com,GenevièveMichaud19646667,d7d9c73958879e8967ebf895f5b83c7fc5ac82e99bac59db7dd24429ce34a0ee,Nice,France,théâtre,jeux vidéo,randonnée,158.7,81.2
98,Victor,Da Silva,Homme,Hétérosexuel.le,62,victor.da silva.3326.2658@tele2.fr,VictorDa Silva8840508,217a1039becfee6c02a6953b5bcce5857e63bf058ee90891daa21f4df261dde7,Paris,France,jeu de société,yoga,jeux vidéo,199.4,94.3
99,Cécile,Da Silva,Femme,Hétérosexuel.le,58,cécile.da silva.9626.9717@tele2.fr,CécileDa Silva93535842,56d15672c9dcb9c61221f43b6478bd71e41b1dc4acb6aafd3a05722159d8f19c,Nice,France,cuisine,,,159.7,58.8
100,Alexandria,Rémy,Femme,Hétérosexuel.le,23,alexandria.rémy.5821.9825@laposte.net,AlexandriaRémy57191325,f7ac633dc1710a6947f9d423fb8386e37f68e4cbff2501cd9e81e505dd667e3b,Paris,France,randonnée,,,163.8,54.4
101,Théodore,Gomes,Homme,Hétérosexuel.le,49,théodore.gomes.7962.9704@yahoo.fr,ThéodoreGomes77263248,05a1a861b245eccd307d1bf5fc47db7a2c0507c64148abed6e2dcc0ad6c3b004,Lyon,France,cuisine,danse,,168.4,86.4
102,Audrey,Sauvage,Femme,Hétérosexuel.le,45,audrey.sauvage.618.5427@gmail.com,AudreySauvage3353886,4766eabf98dbaf25e4bcf94dbf94011880b1700b7db87b756446cd2b8884f61c,Bordeaux,France,dessin,sport,,150.8,56.5
103,Filiz,Bolnbach,Femme,Homosexuel.le,55,filiz.bolnbach.7360.7734@hotmail.de,FilizBolnbach56922240,17a72c6648282a79fff4e714c9d49c63c6e99d0a080bd95f21cada03e101013c,Hanovre,Allemagne,dessin,jeux vidéo,théâtre,173.2,68.8
104,Timothée,Georges,Homme,Hétérosexuel.le,31,timothée.georges.6818.29@free.fr,TimothéeGeorges197722,de5c87584597765638c29fcd3bf71a317dfce80763bb4b1e755f9fe1e6db2f99,Bordeaux,France,photographie,musique,danse,171.4,93.1
105,Corinne,Pinto,Femme,Hétérosexuel.le,44,corinne.pinto.7399.8357@club-internet.fr,CorinnePinto61833443,d23cfffc9a3d77bc140cd6e3256b06826d4ca2fef5e7978519e6a58429f2a0df,Nantes,France,sport,lecture,,157.0,76.4
106,Renée,Lecoq,Femme,Homosexuel.le,33,renée.lecoq.1653.9006@yahoo.fr,RenéeLecoq14886918,6595fe1d6a59b8b552518a5ea611d8f42e487bebf04b18f5f3bd45470f1541a0,Montpellier,France,sport,photographie,dessin,171.7,59.7
107,Anne,Guérin,Femme,Hétérosexuel.le,35,anne.guérin.6029.1431@noos.fr,AnneGuérin8627499,8a1c4b1db9c7f326155666ae9a2c305ba9cbbb6f5371b144523a6c59b3a1bb4c,Toulouse,France,photographie,,,181.4,56.7
108,Olivie,Monnier,Femme,Hétérosexuel.le,36,olivie.monnier.3619.9381@orange.fr,OlivieMonnier33949839,cd6d3f44213f7a72197a06eec670d7278ed3a237caccfcae4d5f7bfea979c525,Toulouse,France,lecture,cuisine,,180.4,47.2
